student_id,group,pre_test,post_test,gain,age,gender,english_proficiency,romanized_nepali_proficiency,messages_sent
E01,experimental,57.13601308547082,63.70920870475281,6.573195619281989,18.7,undisclosed,5.0,5.0,70
E02,experimental,61.00722624767085,80.96633401709313,19.959107769422282,18.9,female,4.0,5.0,51
E03,experimental,53.55297732802064,80.53005800933269,26.977080681312053,19.8,male,4.0,5.0,63
E04,experimental,45.5317962344121,77.27132121930308,31.739524984890977,20.1,male,4.0,4.0,77
E05,experimental,51.203917442988235,67.91234007990622,16.70842263691798,19.4,male,4.0,4.0,71
E06,experimental,44.21689163301172,72.02616379364503,27.809272160633306,19.4,male,5.0,4.0,78
E07,experimental,57.90258359670387,75.87229246635006,17.96970886964619,20.4,female,3.0,3.0,71
E08,experimental,74.55863049967569,86.49642168946436,11.937791189788669,20.2,male,5.0,4.0,64
E09,experimental,50.71550967366689,87.40316089354002,36.68765121987313,18.5,female,3.0,5.0,89
E10,experimental,49.046506078178396,72.21587567656647,23.169369598388073,19.5,female,4.0,5.0,74
E11,experimental,63.493737448547925,86.22021195379092,22.726474505242997,19.6,male,4.0,4.0,78
E12,experimental,61.76375192145544,92.24536745241497,30.48161553095953,18.5,female,4.0,4.0,84
E13,experimental,58.49163657192019,79.21468521518193,20.72304864326174,19.9,male,5.0,5.0,81
E14,experimental,45.012934684524986,75.26430115057198,30.251366466046996,18.7,male,5.0,5.0,124
E15,experimental,56.73938745771071,83.52749389517456,26.788106437463846,20.7,male,3.0,5.0,92
E16,experimental,66.16715848289353,88.45231719920235,22.28515871630883,19.8,female,2.0,5.0,75
E17,experimental,39.629344484103676,63.75605261372776,24.126708129624085,19.7,female,4.0,5.0,42
E18,experimental,51.16559798136773,80.14354244247276,28.977944461105032,19.0,male,3.0,5.0,91
E19,experimental,32.381660629120375,79.40612118576608,47.02446055664571,19.5,male,4.0,5.0,71
E20,experimental,40.34078862493529,61.69767183814385,21.356883213208555,17.4,female,4.0,5.0,43
E21,experimental,33.155703207334874,76.02996515536344,42.87426194802857,18.4,male,2.0,4.0,122
E22,experimental,54.06104582146699,82.09504693820409,28.0340011167371,20.0,female,2.0,5.0,97
E23,experimental,40.62823584486425,68.76716366206507,28.138927817200823,17.3,female,4.0,4.0,79
E24,experimental,60.64964641714014,100.13435412711146,39.484707709971325,20.5,male,4.0,5.0,64
E25,experimental,59.1596216648319,89.85506928983693,30.69544762500503,17.7,female,4.0,4.0,79
E26,experimental,54.687696937982764,72.38745933101795,17.699762393035186,20.4,female,4.0,5.0,53
C01,control,52.82170614726444,64.61291443992936,11.791208292664912,18.7,male,3.0,5.0,0
C02,control,58.741038570859544,86.45652710819542,27.715488537335872,20.4,female,3.0,4.0,0
C03,control,49.71809567205481,60.914853080021366,11.196757407966558,19.7,male,4.0,5.0,0
C04,control,59.993107263697496,68.3699749105705,8.37686764687301,17.9,female,3.0,5.0,0
C05,control,51.159283299062125,69.82893904354177,18.66965574447964,21.0,female,2.0,4.0,0
C06,control,59.80848423521783,70.14488181188565,10.33639757666782,21.2,female,4.0,5.0,0
C07,control,68.89983337375126,74.81799567687122,5.918162303119956,19.5,male,4.0,5.0,0
C08,control,43.97903109190724,50.39369868610593,6.41466759419869,19.3,male,4.0,3.0,0
C09,control,54.33783325055502,67.98454739177407,13.64671414121905,19.4,female,3.0,5.0,0
C10,control,46.48214659497771,58.81034353208579,12.328196937108075,18.5,male,3.0,5.0,0
C11,control,53.4435187165126,79.58897685464777,26.14545813813517,20.8,male,3.0,5.0,0
C12,control,37.949381046751675,64.99076681819861,27.041385771446933,19.0,male,3.0,4.0,0
C13,control,45.11487539944396,62.31336095295377,17.198485553509812,19.5,male,4.0,5.0,0
C14,control,49.6307054766403,72.166444466829,22.535738990188705,18.7,male,3.0,5.0,0
C15,control,62.537466158491775,69.52548222142357,6.9880160629317984,18.9,male,4.0,5.0,0
C16,control,65.44257376212462,85.62250545287402,20.1799316907494,18.2,female,4.0,5.0,0
C17,control,36.34236246264929,57.23618655947041,20.89382409682112,21.0,male,5.0,5.0,0
C18,control,42.5765615154111,67.05204547517783,24.475483959766734,19.4,male,3.0,5.0,0
C19,control,59.568679163795494,57.93668457469482,-1.631994589100671,20.6,male,4.0,4.0,0
C20,control,28.457846058759895,56.129245473126616,27.67139941436672,19.6,female,4.0,4.0,0
C21,control,46.48376986042668,45.979087661356004,-0.5046821990706789,18.9,female,4.0,4.0,0
C22,control,50.796588779643656,44.99127713327636,-5.805311646367294,19.2,female,3.0,5.0,0
C23,control,66.7603253803762,72.42743231094323,5.66710693056703,19.0,male,3.0,5.0,0
C24,control,60.069650501628914,62.26857141144148,2.198920909812564,19.6,male,4.0,5.0,0
C25,control,48.086346706922875,66.03891837539751,17.95257166847464,19.2,female,4.0,5.0,0
C26,control,47.59878951107341,87.19833857720786,39.59954906613445,19.3,female,4.0,5.0,0
