interaction_id,student_id,date,week,query_type,topic,n_retrieved,latency_s,thumbs,intent
LOG-00000,E23,2025-09-09,2,code_mixed,Graphs and Traversals,5,1.2,none,how_to_implement
LOG-00001,E05,2025-09-18,3,code_mixed,Graphs and Traversals,5,1.69,none,complexity
LOG-00002,E21,2025-09-17,3,english,Greedy and Backtracking,5,1.69,up,debug
LOG-00003,E09,2025-10-05,5,code_mixed,Heaps and Priority Queues,5,2.32,none,conceptual_why
LOG-00004,E06,2025-09-18,3,english,Stacks and Queues,5,1.06,none,conceptual_why
LOG-00005,E06,2025-09-04,1,english,Complexity and Notation,5,2.18,down,complexity
LOG-00006,E15,2025-09-23,4,english,Graphs and Traversals,5,1.95,none,complexity
LOG-00007,E09,2025-09-15,3,english,Stacks and Queues,5,2.05,none,how_to_implement
LOG-00008,E07,2025-10-05,5,english,Dynamic Programming (Intro),5,1.8,up,how_to_implement
LOG-00009,E04,2025-09-17,3,romanized_nepali,Arrays and Strings,5,1.89,none,complexity
LOG-00010,E10,2025-09-30,5,code_mixed,Trees and BSTs,5,2.51,none,conceptual_why
LOG-00011,E21,2025-09-13,2,code_mixed,Heaps and Priority Queues,5,2.32,none,conceptual_why
LOG-00012,E01,2025-09-24,4,romanized_nepali,Dynamic Programming (Intro),5,1.61,none,complexity
LOG-00013,E14,2025-10-09,6,code_mixed,Linked Lists,5,2.11,up,how_to_implement
LOG-00014,E16,2025-09-19,3,english,Trees and BSTs,5,1.45,none,conceptual_why
LOG-00015,E02,2025-09-28,4,english,Stacks and Queues,5,2.49,up,complexity
LOG-00016,E09,2025-09-23,4,english,Dynamic Programming (Intro),5,1.95,none,how_to_implement
LOG-00017,E24,2025-09-06,1,romanized_nepali,Arrays and Strings,5,2.34,none,conceptual_why
LOG-00018,E26,2025-09-02,1,code_mixed,Heaps and Priority Queues,5,2.25,up,how_to_implement
LOG-00019,E22,2025-10-09,6,romanized_nepali,Complexity and Notation,5,1.87,up,complexity
LOG-00020,E06,2025-09-21,3,romanized_nepali,Sorting Algorithms,5,1.46,none,conceptual_why
LOG-00021,E21,2025-10-05,5,english,Dynamic Programming (Intro),5,2.11,none,how_to_implement
LOG-00022,E13,2025-09-23,4,english,Graphs and Traversals,5,1.21,up,how_to_implement
LOG-00023,E06,2025-10-09,6,romanized_nepali,Arrays and Strings,5,1.97,up,how_to_implement
LOG-00024,E14,2025-09-15,3,english,Dynamic Programming (Intro),5,1.28,up,conceptual_why
LOG-00025,E24,2025-09-25,4,romanized_nepali,Graphs and Traversals,5,1.81,none,conceptual_why
LOG-00026,E23,2025-09-29,5,english,Sorting Algorithms,5,1.96,none,how_to_implement
LOG-00027,E11,2025-10-08,6,romanized_nepali,Graphs and Traversals,5,2.16,up,complexity
LOG-00028,E03,2025-09-03,1,code_mixed,Graphs and Traversals,5,1.94,up,debug
LOG-00029,E23,2025-09-21,3,code_mixed,Trees and BSTs,5,1.55,none,conceptual_why
LOG-00030,E26,2025-09-24,4,code_mixed,Dynamic Programming (Intro),5,1.69,none,conceptual_why
LOG-00031,E14,2025-10-02,5,english,Arrays and Strings,5,3.01,none,complexity
LOG-00032,E07,2025-09-11,2,code_mixed,Hashing,5,1.84,none,conceptual_why
LOG-00033,E15,2025-09-29,5,code_mixed,Arrays and Strings,5,1.9,none,how_to_implement
LOG-00034,E19,2025-10-06,6,english,Arrays and Strings,5,2.24,up,debug
LOG-00035,E14,2025-10-06,6,romanized_nepali,Hashing,5,1.86,none,complexity
LOG-00036,E10,2025-09-17,3,code_mixed,Searching Algorithms,5,2.0,up,complexity
LOG-00037,E08,2025-09-23,4,romanized_nepali,Trees and BSTs,5,1.49,up,complexity
LOG-00038,E09,2025-09-19,3,code_mixed,Stacks and Queues,5,1.51,none,how_to_implement
LOG-00039,E02,2025-09-22,4,english,Trees and BSTs,5,1.77,none,how_to_implement
LOG-00040,E08,2025-09-21,3,code_mixed,Arrays and Strings,5,2.08,up,debug
LOG-00041,E25,2025-10-11,6,code_mixed,Dynamic Programming (Intro),5,1.24,up,complexity
