student_id,item_id,item_text,subscale,target_mean,response
E01,Q01,The chatbot's explanations helped me understand topics I struggled with in lectures,pedagogical_helpfulness,4.54,5
E01,Q02,The explanations were at the right level of detail,pedagogical_helpfulness,4.4,5
E01,Q03,The chatbot broke problems into understandable steps,pedagogical_helpfulness,4.35,4
E01,Q04,The follow-up questions made me think,pedagogical_helpfulness,4.31,4
E01,Q05,The chatbot helped me prepare for assessments,pedagogical_helpfulness,4.3,4
E01,Q06,The chatbot understood my mixed-language questions,linguistic_appropriateness,4.42,4
E01,Q07,It replied in the same language mix I used,linguistic_appropriateness,4.28,4
E01,Q08,Technical terms were used in a way I could follow,linguistic_appropriateness,4.24,4
E01,Q09,I could ask questions the way I actually speak,linguistic_appropriateness,4.14,4
E01,Q10,The conversation felt natural,interaction_quality,4.3,4
E01,Q11,The chatbot's response time felt fast enough,interaction_quality,3.87,4
E01,Q12,The interface was easy to use,interaction_quality,4.35,5
E01,Q13,The source previews were useful,interaction_quality,4.32,5
E01,Q14,Using the chatbot improved my understanding of DSA,learning_impact,4.45,4
E01,Q15,I felt more confident solving problems,learning_impact,4.4,5
E01,Q16,I asked questions I would not have asked in class,learning_impact,4.42,4
E01,Q17,I would like to use it in other courses,learning_impact,4.29,4
E02,Q01,The chatbot's explanations helped me understand topics I struggled with in lectures,pedagogical_helpfulness,4.54,4
E02,Q02,The explanations were at the right level of detail,pedagogical_helpfulness,4.4,4
E02,Q03,The chatbot broke problems into understandable steps,pedagogical_helpfulness,4.35,4
E02,Q04,The follow-up questions made me think,pedagogical_helpfulness,4.31,5
E02,Q05,The chatbot helped me prepare for assessments,pedagogical_helpfulness,4.3,4
E02,Q06,The chatbot understood my mixed-language questions,linguistic_appropriateness,4.42,5
E02,Q07,It replied in the same language mix I used,linguistic_appropriateness,4.28,5
E02,Q08,Technical terms were used in a way I could follow,linguistic_appropriateness,4.24,3
E02,Q09,I could ask questions the way I actually speak,linguistic_appropriateness,4.14,4
E02,Q10,The conversation felt natural,interaction_quality,4.3,4
E02,Q11,The chatbot's response time felt fast enough,interaction_quality,3.87,4
E02,Q12,The interface was easy to use,interaction_quality,4.35,4
